# z23 benchmark history.
# Columns: date, commit, bench, value, unit, notes.
# Numeric value rows are regression-gated by build/bin/z23 -bench-regress.
# Empty value rows are pending/skipped measurements and are ignored by the gate.
# Bench names follow docs/USER_BENCHMARKS.md primaries #1..#5.
# Append-only: do not rewrite old rows; add a correction row instead.
date,commit,bench,value,unit,notes
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust sha3-256,1861.700,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); shipped -march=x86-64-v3; SHA-NI and AVX-512 compiled OUT; 537137 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust blake2b,908.200,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); shipped -march=x86-64-v3; SHA-NI and AVX-512 compiled OUT; 1101078 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust groth16-bls12-381-output,6399452.600,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); shipped -march=x86-64-v3; SHA-NI and AVX-512 compiled OUT; 156 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust [host-isa] equihash-200-9,124923.400,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); ZCL_NATIVE=1 -march=native; AVX-512 + SHA-NI compiled IN; 8005 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust [host-isa] bls12-381-fp-mul,65.100,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); ZCL_NATIVE=1 -march=native; AVX-512 + SHA-NI compiled IN; 15360983 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust [host-isa] bls12-381-pairing,2045706.500,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); ZCL_NATIVE=1 -march=native; AVX-512 + SHA-NI compiled IN; 489 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust [host-isa] secp256k1-ecdsa-verify,53095.500,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); ZCL_NATIVE=1 -march=native; AVX-512 + SHA-NI compiled IN; 18834 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust [host-isa] ed25519-verify,1838567.200,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); ZCL_NATIVE=1 -march=native; AVX-512 + SHA-NI compiled IN; 544 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust [host-isa] sha256,516.400,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); ZCL_NATIVE=1 -march=native; AVX-512 + SHA-NI compiled IN; 1936483 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust [host-isa] sha3-256,1841.200,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); ZCL_NATIVE=1 -march=native; AVX-512 + SHA-NI compiled IN; 543127 ops/sec
